country_name_en,measurements_parameter,city,location,measurements_value,measurements_lastupdated
India,CO,,"Maninagar, Ahmedabad - GPCB",180.0,2022-10-31 01:45:00+00:00
India,CO,,"Sri Aurobindo Marg, Delhi - DPCC",1300.0,2022-10-31 00:45:00+00:00
India,CO,,"ITO, Delhi - CPCB",1760.0,2022-10-31 01:45:00+00:00
India,CO,,"GIFT City, Gandhinagar - IITM",680.0,2022-07-07 09:00:00+00:00
India,CO,,"Sector-2 IMT, Manesar - HSPCB",1790.0,2022-10-31 01:45:00+00:00
India,CO,,"Pallavpuram Phase 2, Meerut - UPPCB",230.0,2022-10-16 16:00:00+00:00
India,CO,,"Shadipur, Delhi - CPCB",2140.0,2018-02-22 02:45:00+00:00
India,CO,,"Golden Temple, Amritsar - PPCB",580.0,2022-10-31 02:00:00+00:00
India,CO,,"Peenya, Bengaluru - CPCB",630.0,2022-10-31 01:45:00+00:00
India,CO,,"Anand Kala Kshetram, Rajamahendravaram - APPCB",540.0,2022-10-31 02:00:00+00:00
India,CO,,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",1190.0,2022-10-31 01:45:00+00:00
India,CO,,"Aya Nagar, Delhi - IMD",1740.0,2022-10-31 01:15:00+00:00
India,CO,,"Pimpleshwar Mandir, Thane - MPCB",10.0,2022-10-16 11:45:00+00:00
India,CO,,"Suryakiran Bhawan NCL, Singrauli - MPPCB",1320.0,2022-10-16 16:00:00+00:00
India,CO,,"Sector-1, Noida - UPPCB",8970.0,2022-10-13 06:15:00+00:00
India,CO,,"Jahangirpuri, Delhi - DPCC",700.0,2022-10-31 00:45:00+00:00
India,CO,,"Rabindra Bharati University, Kolkata - WBSPCB",420.0,2017-10-26 06:00:00+00:00
India,CO,,"Sanathnagar, Hyderabad - TSPCB",630.0,2018-02-22 03:00:00+00:00
India,CO,,"Rohini, Delhi - DPCC",7000.0,2022-10-30 20:30:00+00:00
India,CO,,"PWD Juction, Kohima - NPCB",340.0,2022-10-16 16:00:00+00:00
India,CO,,"Royapuram, Chennai - TNPCB",940.0,2022-10-16 16:00:00+00:00
India,CO,,"Kunjaban, Agartala - Tripura SPCB",1040.0,2022-10-16 16:00:00+00:00
India,CO,,"Chakala-Andheri East, Mumbai - IITM",1000.0,2022-10-16 13:00:00+00:00
India,CO,,"B.Katihalli, Hassan - KSPCB",190.0,2022-10-16 15:45:00+00:00
India,CO,,"NSI Kalyanpur, Kanpur - UPPCB",1220.0,2022-10-31 02:00:00+00:00
India,CO,,"FTI Kidwai Nagar, Kanpur - UPPCB",1490.0,2022-10-31 02:00:00+00:00
India,CO,,"DM College of Science, Imphal - Manipur PCB",130.0,2022-10-31 02:00:00+00:00
India,CO,,"Kompally Municipal Office, Hyderabad - TSPCB",750.0,2022-10-31 02:00:00+00:00
India,CO,,"Bawana, Delhi - DPCC",1300.0,2022-10-31 00:45:00+00:00
India,CO,,"Vyttila, Kochi - Kerala PCB",220.0,2022-10-16 16:00:00+00:00
India,CO,,"Marhatal, Jabalpur - MPPCB",940.0,2022-10-16 16:00:00+00:00
India,CO,,"Diwator Nagar, Koppal - KSPCB",800.0,2022-10-16 14:45:00+00:00
India,CO,,"Rakhial, Ahmedabad - IITM",980.0,2022-07-13 06:30:00+00:00
India,CO,,"New DM Office, Arrah - BSPCB",330.0,2022-10-31 01:30:00+00:00
India,CO,,"HIMUDA Complex Phase-1, Baddi - HPPCB",420.0,2022-10-31 01:45:00+00:00
India,CO,,"ECIL Kapra, Hyderabad - TSPCB",250.0,2022-10-16 14:15:00+00:00
India,CO,,"Kalindi Kunj, Khurja - UPPCB",2510.0,2022-10-31 01:45:00+00:00
India,CO,,"North Campus, DU, Delhi - IMD",1390.0,2022-10-31 02:00:00+00:00
India,CO,,"Vasundhara, Ghaziabad - UPPCB",4020.0,2022-10-31 02:00:00+00:00
India,CO,,"Rohini, Delhi - DPCC",700.0,2018-05-09 11:00:00+00:00
